Date,Open,High,Low,Close,Adj Close,Volume,Ticker
2015-05-04,115.779999,117.139999,115.699997,116.449997,108.183609,3925300,UnitedTechnologies
2015-05-05,116.010002,116.879997,114.709999,115.07,106.901573,3028200,UnitedTechnologies
2015-05-06,116.559998,116.559998,114.269997,115.080002,106.910866,3690300,UnitedTechnologies
2015-05-07,115.129997,116.559998,114.589996,116.040001,107.802727,3155700,UnitedTechnologies
2015-05-08,117.709999,118.849998,117.309998,118.43,110.023056,3707800,UnitedTechnologies
2015-05-11,117.440002,118.489998,117.440002,117.699997,109.344864,3023800,UnitedTechnologies
2015-05-12,117.050003,117.830002,116.019997,117.360001,109.029015,2804100,UnitedTechnologies
2015-05-13,116.970001,118.0,116.860001,117.370003,109.636192,3038700,UnitedTechnologies
2015-05-14,117.82,119.370003,117.82,119.139999,111.289551,2728800,UnitedTechnologies
2015-05-15,119.080002,119.389999,117.919998,118.489998,110.682381,2964700,UnitedTechnologies
2015-05-18,118.529999,119.120003,118.400002,118.510002,110.70108,2433600,UnitedTechnologies
2015-05-19,118.599998,119.449997,118.510002,119.07,111.224174,2808400,UnitedTechnologies
2015-05-20,119.660004,119.660004,118.599998,118.870003,111.037346,2431600,UnitedTechnologies
2015-05-21,118.809998,119.660004,118.699997,119.120003,111.270874,2121200,UnitedTechnologies
2015-05-22,119.0,119.660004,118.550003,118.620003,110.803825,2389600,UnitedTechnologies
2015-05-26,118.550003,118.620003,116.410004,116.870003,109.169128,3434600,UnitedTechnologies
2015-05-27,117.400002,117.879997,116.68,117.639999,109.888405,3365100,UnitedTechnologies
2015-05-28,117.269997,118.0,117.269997,117.690002,109.935104,2903600,UnitedTechnologies
2015-05-29,117.510002,117.610001,116.43,117.169998,109.449364,4933500,UnitedTechnologies
2015-06-01,117.230003,117.629997,116.459999,117.0,109.290565,2341600,UnitedTechnologies
2015-06-02,116.730003,118.050003,116.239998,117.339996,109.608154,3503300,UnitedTechnologies
2015-06-03,118.029999,119.120003,117.400002,118.510002,110.70108,3129900,UnitedTechnologies
2015-06-04,117.830002,118.419998,116.790001,117.139999,109.421333,3581600,UnitedTechnologies
2015-06-05,116.589996,117.379997,116.18,117.0,109.290565,2667400,UnitedTechnologies
2015-06-08,116.540001,117.360001,116.110001,116.18,108.524612,3209400,UnitedTechnologies
2015-06-09,116.510002,117.25,116.019997,116.300003,108.636673,2499500,UnitedTechnologies
2015-06-10,117.5,118.0,116.910004,117.5,109.757622,3145800,UnitedTechnologies
2015-06-11,117.989998,118.400002,117.43,118.32,110.52359,2707500,UnitedTechnologies
2015-06-12,117.459999,118.029999,117.019997,117.599998,109.851028,2345300,UnitedTechnologies
2015-06-15,115.209999,115.529999,114.400002,114.610001,107.058067,5972900,UnitedTechnologies
2015-06-16,114.510002,115.379997,114.32,114.940002,107.366295,4936200,UnitedTechnologies
2015-06-17,115.279999,115.480003,113.980003,115.07,107.487732,3799400,UnitedTechnologies
2015-06-18,114.290001,116.559998,114.290001,115.900002,108.263046,3753600,UnitedTechnologies
2015-06-19,115.599998,116.150002,114.889999,114.889999,107.319603,4210200,UnitedTechnologies
2015-06-22,115.400002,115.779999,114.959999,115.279999,107.683899,2971100,UnitedTechnologies
2015-06-23,115.169998,115.519997,114.919998,115.230003,107.637192,3632800,UnitedTechnologies
2015-06-24,114.699997,114.830002,113.82,113.970001,106.46022,4271200,UnitedTechnologies
2015-06-25,114.239998,114.650002,113.300003,113.300003,105.834373,3786200,UnitedTechnologies
2015-06-26,113.470001,113.989998,113.050003,113.519997,106.039871,3667700,UnitedTechnologies
2015-06-29,112.739998,113.029999,111.449997,111.529999,104.181,4160400,UnitedTechnologies
2015-06-30,112.239998,112.480003,110.620003,110.93,103.620537,5909800,UnitedTechnologies
2015-07-01,112.029999,112.169998,110.139999,110.82,103.517769,4126800,UnitedTechnologies
2015-07-02,111.330002,111.589996,109.220001,109.559998,102.340797,5159500,UnitedTechnologies
2015-07-06,108.360001,109.809998,107.949997,109.360001,102.153992,4195100,UnitedTechnologies
2015-07-07,109.540001,110.220001,108.050003,110.089996,102.835876,4732100,UnitedTechnologies
2015-07-08,108.760002,109.720001,108.260002,108.669998,101.509453,3806300,UnitedTechnologies
2015-07-09,110.0,110.440002,108.919998,108.919998,101.742981,2555000,UnitedTechnologies
2015-07-10,110.379997,111.279999,109.510002,110.18,102.919945,4309600,UnitedTechnologies
2015-07-13,111.190002,111.980003,110.75,111.580002,104.227707,3892900,UnitedTechnologies
2015-07-14,111.5,111.639999,111.019997,111.510002,104.162323,2987500,UnitedTechnologies
2015-07-15,111.5,111.830002,110.809998,111.25,103.919449,2844500,UnitedTechnologies
2015-07-16,112.32,112.360001,111.040001,111.260002,103.928787,3063800,UnitedTechnologies
2015-07-17,111.260002,111.470001,110.599998,110.739998,103.443062,3465100,UnitedTechnologies
2015-07-20,110.970001,111.010002,109.510002,110.480003,103.200188,7487000,UnitedTechnologies
2015-07-21,104.349998,104.949997,101.779999,102.709999,95.942169,19540100,UnitedTechnologies
2015-07-22,102.260002,102.5,100.889999,101.550003,94.858604,9433700,UnitedTechnologies
2015-07-23,102.18,102.190002,100.739998,101.139999,94.475609,5925700,UnitedTechnologies
2015-07-24,101.0,101.190002,99.260002,99.309998,92.766197,6588000,UnitedTechnologies
2015-07-27,98.779999,99.540001,98.379997,98.870003,92.355202,7560400,UnitedTechnologies
2015-07-28,99.029999,99.279999,98.019997,98.970001,92.448608,5583000,UnitedTechnologies
2015-07-29,99.089996,99.580002,97.589996,99.360001,92.81292,11935800,UnitedTechnologies
2015-07-30,99.379997,101.290001,99.0,100.730003,94.092651,6739100,UnitedTechnologies
2015-07-31,100.919998,101.489998,100.25,100.309998,93.700317,7217200,UnitedTechnologies
2015-08-03,100.309998,100.309998,98.18,99.419998,92.86895,7123700,UnitedTechnologies
2015-08-04,100.029999,100.120003,98.910004,99.029999,92.504654,5557600,UnitedTechnologies
2015-08-05,99.970001,100.129997,98.730003,98.870003,92.355202,3895600,UnitedTechnologies
2015-08-06,98.989998,99.209999,98.360001,98.980003,92.457939,4198400,UnitedTechnologies
2015-08-07,98.720001,98.989998,98.0,98.290001,91.813408,2897100,UnitedTechnologies
2015-08-10,98.849998,99.790001,98.849998,99.550003,92.990395,6068400,UnitedTechnologies
2015-08-11,98.68,98.889999,98.0,98.610001,92.112343,7317900,UnitedTechnologies
2015-08-12,97.25,98.839996,96.650002,98.690002,92.789291,4618800,UnitedTechnologies
2015-08-13,98.540001,99.0,98.059998,98.379997,92.497818,4689900,UnitedTechnologies
2015-08-14,98.110001,98.879997,97.989998,98.699997,92.798676,4413300,UnitedTechnologies
2015-08-17,98.129997,99.43,97.610001,99.360001,93.41922,4228400,UnitedTechnologies
2015-08-18,98.959999,100.019997,98.959999,99.410004,93.466232,4730400,UnitedTechnologies
2015-08-19,98.699997,99.370003,97.870003,98.209999,92.337982,3619800,UnitedTechnologies
2015-08-20,97.5,98.150002,95.82,95.82,90.090889,6084000,UnitedTechnologies
2015-08-21,94.959999,95.220001,92.919998,93.010002,87.448898,7624400,UnitedTechnologies
2015-08-24,88.669998,93.190002,87.169998,90.870003,85.436836,10994900,UnitedTechnologies
2015-08-25,93.360001,93.75,88.690002,88.800003,83.490608,8283500,UnitedTechnologies
2015-08-26,90.690002,91.690002,88.809998,91.559998,86.085579,7380300,UnitedTechnologies
2015-08-27,92.519997,93.480003,91.550003,93.269997,87.693352,7473800,UnitedTechnologies
2015-08-28,92.849998,93.550003,92.669998,93.239998,87.665131,5230200,UnitedTechnologies
2015-08-31,91.209999,92.620003,90.540001,91.610001,86.132599,7004500,UnitedTechnologies
2015-09-01,89.489998,90.68,89.279999,89.720001,84.355606,6786600,UnitedTechnologies
2015-09-02,90.940002,91.260002,89.970001,91.239998,85.784729,5642000,UnitedTechnologies
2015-09-03,92.0,92.580002,91.639999,91.910004,86.414673,4534600,UnitedTechnologies
2015-09-04,90.82,91.150002,90.360001,90.68,85.258217,4562800,UnitedTechnologies
2015-09-08,92.150002,92.959999,91.949997,92.82,87.270256,4814800,UnitedTechnologies
2015-09-09,93.650002,93.839996,91.739998,91.849998,86.358253,4760700,UnitedTechnologies
2015-09-10,92.040001,92.089996,90.889999,91.400002,85.935165,6120700,UnitedTechnologies
2015-09-11,91.199997,92.339996,91.0,92.330002,86.809547,4490200,UnitedTechnologies
2015-09-14,92.300003,92.440002,91.389999,91.830002,86.339439,3279200,UnitedTechnologies
2015-09-15,92.620003,93.110001,92.080002,92.68,87.138618,4104000,UnitedTechnologies
2015-09-16,92.720001,94.110001,92.68,93.940002,88.323296,3504200,UnitedTechnologies
2015-09-17,93.889999,94.919998,93.139999,93.309998,87.730949,5205800,UnitedTechnologies
2015-09-18,92.410004,92.599998,90.529999,91.07,85.624893,10335600,UnitedTechnologies
2015-09-21,91.330002,92.169998,91.0,91.550003,86.07618,2981200,UnitedTechnologies
2015-09-22,88.980003,89.699997,87.660004,88.199997,82.926491,7911700,UnitedTechnologies
2015-09-23,88.150002,88.379997,85.900002,86.959999,81.76062,7324200,UnitedTechnologies
2015-09-24,85.75,86.989998,85.5,86.82,81.62899,7126800,UnitedTechnologies
2015-09-25,87.629997,88.169998,86.730003,87.300003,82.080299,7447600,UnitedTechnologies
2015-09-28,86.599998,87.470001,86.290001,86.830002,81.638405,5343700,UnitedTechnologies
2015-09-29,86.580002,88.080002,86.459999,87.980003,82.719643,4117600,UnitedTechnologies
2015-09-30,88.639999,89.57,88.080002,88.989998,83.669235,5051600,UnitedTechnologies
2015-10-01,88.900002,89.43,87.529999,88.360001,83.07692,3668600,UnitedTechnologies
2015-10-02,87.489998,89.889999,86.82,89.769997,84.402611,4624200,UnitedTechnologies
2015-10-05,90.440002,92.480003,90.220001,92.260002,86.743736,4912500,UnitedTechnologies
2015-10-06,92.150002,92.849998,92.010002,92.550003,87.016396,3386600,UnitedTechnologies
2015-10-07,94.0,94.160004,92.57,93.510002,87.918991,3516100,UnitedTechnologies
2015-10-08,92.860001,94.389999,92.839996,94.330002,88.68998,4051800,UnitedTechnologies
2015-10-09,94.669998,95.940002,94.510002,95.370003,89.667786,4099900,UnitedTechnologies
2015-10-12,94.940002,95.470001,94.610001,95.43,89.724205,3194900,UnitedTechnologies
2015-10-13,94.169998,94.75,93.639999,94.279999,88.64296,4079300,UnitedTechnologies
2015-10-14,94.269997,94.860001,91.760002,92.169998,86.659126,5608300,UnitedTechnologies
2015-10-15,92.709999,93.230003,92.150002,93.18,87.608727,3829800,UnitedTechnologies
2015-10-16,94.0,94.150002,92.629997,93.0,87.439491,3148400,UnitedTechnologies
2015-10-19,92.5,92.849998,91.209999,92.050003,86.546295,5513800,UnitedTechnologies
2015-10-20,94.330002,97.690002,93.080002,95.620003,89.90284,8885200,UnitedTechnologies
2015-10-21,96.239998,98.68,96.019997,97.970001,92.112343,10498900,UnitedTechnologies
2015-10-22,98.290001,100.230003,98.099998,99.790001,93.823517,5722400,UnitedTechnologies
2015-10-23,100.459999,100.900002,100.18,100.620003,94.603889,5032900,UnitedTechnologies
2015-10-26,100.620003,100.980003,100.0,100.230003,94.237206,2701000,UnitedTechnologies
2015-10-27,99.800003,99.970001,98.709999,98.879997,92.967926,3396500,UnitedTechnologies
2015-10-28,99.370003,99.519997,98.169998,99.32,93.381615,3829900,UnitedTechnologies
2015-10-29,99.239998,99.610001,98.239998,99.050003,93.127754,3287300,UnitedTechnologies
